recclass,year,id
L,1948-01-01T00:00:00.000,10
L,1949-01-01T00:00:00.000,10
L,1950-01-01T00:00:00.000,10
L/LL4,1766-01-01T00:00:00.000,10
L/LL4,1877-01-01T00:00:00.000,12
L/LL4,1899-01-01T00:00:00.000,10
L/LL5,1866-01-01T00:00:00.000,10
L/LL5,1982-01-01T00:00:00.000,10
L/LL5,1990-01-01T00:00:00.000,10
L/LL6,1870-01-01T00:00:00.000,10
L/LL6,1912-01-01T00:00:00.000,12
L/LL6,1916-01-01T00:00:00.000,10
L3,1926-01-01T00:00:00.000,12
L3,1969-01-01T00:00:00.000,20
L3-4,1941-01-01T00:00:00.000,10
L3-6,1951-01-01T00:00:00.000,10
L3.4,1944-01-01T00:00:00.000,10
L3.6,1910-01-01T00:00:00.000,10
L3.7,1852-01-01T00:00:00.000,10
L3.7,1988-01-01T00:00:00.000,10
L3.7-6,1910-01-01T00:00:00.000,10
L4,1818-01-01T00:00:00.000,10
L4,1823-01-01T00:00:00.000,10
L4,1872-01-01T00:00:00.000,10
L4,1873-01-01T00:00:00.000,10
L4,1918-01-01T00:00:00.000,10
L4,1920-01-01T00:00:00.000,10
L4,1925-01-01T00:00:00.000,10
L4,1929-01-01T00:00:00.000,12
L4,1934-01-01T00:00:00.000,10
L4,1939-01-01T00:00:00.000,12
L4,1940-01-01T00:00:00.000,10
L4,1954-01-01T00:00:00.000,20
L4,1968-01-01T00:00:00.000,10
L4,1994-01-01T00:00:00.000,10
L4,2008-01-01T00:00:00.000,10
L4-6,1949-01-01T00:00:00.000,10
L5,1723-01-01T00:00:00.000,10
L5,1798-01-01T00:00:00.000,10
L5,1819-01-01T00:00:00.000,10
L5,1825-01-01T00:00:00.000,12
L5,1838-01-01T00:00:00.000,10
L5,1839-01-01T00:00:00.000,12
L5,1846-01-01T00:00:00.000,10
L5,1848-01-01T00:00:00.000,10
L5,1852-01-01T00:00:00.000,10
L5,1858-01-01T00:00:00.000,10
L5,1859-01-01T00:00:00.000,20
L5,1865-01-01T00:00:00.000,10
L5,1867-01-01T00:00:00.000,10
L5,1873-01-01T00:00:00.000,10
L5,1874-01-01T00:00:00.000,10
L5,1875-01-01T00:00:00.000,12
L5,1880-01-01T00:00:00.000,10
L5,1882-01-01T00:00:00.000,10
L5,1889-01-01T00:00:00.000,10
L5,1890-01-01T00:00:00.000,12
L5,1895-01-01T00:00:00.000,10
L5,1897-01-01T00:00:00.000,10
L5,1901-01-01T00:00:00.000,10
L5,1902-01-01T00:00:00.000,10
L5,1903-01-01T00:00:00.000,10
L5,1904-01-01T00:00:00.000,10
L5,1906-01-01T00:00:00.000,12
L5,1907-01-01T00:00:00.000,10
L5,1910-01-01T00:00:00.000,10
L5,1913-01-01T00:00:00.000,10
L5,1914-01-01T00:00:00.000,10
L5,1918-01-01T00:00:00.000,10
L5,1922-01-01T00:00:00.000,10
L5,1925-01-01T00:00:00.000,10
L5,1926-01-01T00:00:00.000,10
L5,1929-01-01T00:00:00.000,10
L5,1933-01-01T00:00:00.000,10
L5,1934-01-01T00:00:00.000,10
L5,1937-01-01T00:00:00.000,10
L5,1941-01-01T00:00:00.000,22
L5,1945-01-01T00:00:00.000,10
L5,1947-01-01T00:00:00.000,10
L5,1950-01-01T00:00:00.000,10
L5,1951-01-01T00:00:00.000,10
L5,1955-01-01T00:00:00.000,10
L5,1961-01-01T00:00:00.000,10
L5,1963-01-01T00:00:00.000,10
L5,1965-01-01T00:00:00.000,20
L5,1970-01-01T00:00:00.000,10
L5,1972-01-01T00:00:00.000,10
L5,1976-01-01T00:00:00.000,10
L5,1977-01-01T00:00:00.000,10
L5,1978-01-01T00:00:00.000,10
L5,1979-01-01T00:00:00.000,10
L5,1983-01-01T00:00:00.000,10
L5,1988-01-01T00:00:00.000,10
L5,1989-01-01T00:00:00.000,10
L5,1991-01-01T00:00:00.000,20
L5,1994-01-01T00:00:00.000,10
L5,2003-01-01T00:00:00.000,22
L5,2006-01-01T00:00:00.000,10
L5,2008-01-01T00:00:00.000,10
L5,2010-01-01T00:00:00.000,12
L5-6,1882-01-01T00:00:00.000,10
L5-6,2008-01-01T00:00:00.000,10
L5/6,1992-01-01T00:00:00.000,10
L5/6,2004-01-01T00:00:00.000,10
L6,0861-01-01T00:00:00.000,10
L6,1768-01-01T00:00:00.000,20
L6,1787-01-01T00:00:00.000,10
L6,1801-01-01T00:00:00.000,10
L6,1803-01-01T00:00:00.000,20
L6,1804-01-01T00:00:00.000,20
L6,1808-01-01T00:00:00.000,20
L6,1811-01-01T00:00:00.000,20
L6,1812-01-01T00:00:00.000,10
L6,1814-01-01T00:00:00.000,20
L6,1815-01-01T00:00:00.000,10
L6,1822-01-01T00:00:00.000,10
L6,1826-01-01T00:00:00.000,10
L6,1827-01-01T00:00:00.000,22
L6,1829-01-01T00:00:00.000,33
L6,1830-01-01T00:00:00.000,10
L6,1836-01-01T00:00:00.000,10
L6,1837-01-01T00:00:00.000,10
L6,1838-01-01T00:00:00.000,10
L6,1841-01-01T00:00:00.000,20
L6,1842-01-01T00:00:00.000,20
L6,1846-01-01T00:00:00.000,10
L6,1847-01-01T00:00:00.000,12
L6,1848-01-01T00:00:00.000,22
L6,1851-01-01T00:00:00.000,10
L6,1853-01-01T00:00:00.000,20
L6,1854-01-01T00:00:00.000,10
L6,1855-01-01T00:00:00.000,20
L6,1857-01-01T00:00:00.000,20
L6,1858-01-01T00:00:00.000,10
L6,1859-01-01T00:00:00.000,12
L6,1860-01-01T00:00:00.000,32
L6,1863-01-01T00:00:00.000,20
L6,1864-01-01T00:00:00.000,20
L6,1865-01-01T00:00:00.000,10
L6,1868-01-01T00:00:00.000,32
L6,1869-01-01T00:00:00.000,12
L6,1873-01-01T00:00:00.000,10
L6,1877-01-01T00:00:00.000,10
L6,1878-01-01T00:00:00.000,30
L6,1879-01-01T00:00:00.000,30
L6,1881-01-01T00:00:00.000,30
L6,1882-01-01T00:00:00.000,10
L6,1883-01-01T00:00:00.000,20
L6,1885-01-01T00:00:00.000,10
L6,1886-01-01T00:00:00.000,10
L6,1887-01-01T00:00:00.000,10
L6,1889-01-01T00:00:00.000,10
L6,1892-01-01T00:00:00.000,10
L6,1893-01-01T00:00:00.000,22
L6,1894-01-01T00:00:00.000,32
L6,1896-01-01T00:00:00.000,30
L6,1897-01-01T00:00:00.000,20
L6,1898-01-01T00:00:00.000,12
L6,1900-01-01T00:00:00.000,30
L6,1901-01-01T00:00:00.000,12
L6,1902-01-01T00:00:00.000,32
L6,1903-01-01T00:00:00.000,22
L6,1905-01-01T00:00:00.000,22
L6,1906-01-01T00:00:00.000,10
L6,1908-01-01T00:00:00.000,10
L6,1909-01-01T00:00:00.000,22
L6,1910-01-01T00:00:00.000,20
L6,1911-01-01T00:00:00.000,10
L6,1912-01-01T00:00:00.000,10
L6,1914-01-01T00:00:00.000,20
L6,1916-01-01T00:00:00.000,32
L6,1917-01-01T00:00:00.000,64
L6,1919-01-01T00:00:00.000,10
L6,1921-01-01T00:00:00.000,10
L6,1922-01-01T00:00:00.000,22
L6,1923-01-01T00:00:00.000,20
L6,1924-01-01T00:00:00.000,44
L6,1925-01-01T00:00:00.000,10
L6,1926-01-01T00:00:00.000,10
L6,1927-01-01T00:00:00.000,22
L6,1928-01-01T00:00:00.000,20
L6,1929-01-01T00:00:00.000,20
L6,1930-01-01T00:00:00.000,30
L6,1932-01-01T00:00:00.000,20
L6,1933-01-01T00:00:00.000,20
L6,1935-01-01T00:00:00.000,20
L6,1937-01-01T00:00:00.000,40
L6,1938-01-01T00:00:00.000,32
L6,1940-01-01T00:00:00.000,10
L6,1942-01-01T00:00:00.000,20
L6,1943-01-01T00:00:00.000,22
L6,1944-01-01T00:00:00.000,10
L6,1945-01-01T00:00:00.000,12
L6,1946-01-01T00:00:00.000,10
L6,1947-01-01T00:00:00.000,20
L6,1949-01-01T00:00:00.000,40
L6,1950-01-01T00:00:00.000,10
L6,1955-01-01T00:00:00.000,10
L6,1956-01-01T00:00:00.000,30
L6,1958-01-01T00:00:00.000,10
L6,1959-01-01T00:00:00.000,20
L6,1960-01-01T00:00:00.000,10
L6,1961-01-01T00:00:00.000,12
L6,1962-01-01T00:00:00.000,20
L6,1963-01-01T00:00:00.000,20
L6,1964-01-01T00:00:00.000,20
L6,1967-01-01T00:00:00.000,22
